,agressivite,visibilite,hstag,hstagmoyenTweet,longMoyen,frequenceFollowers,frequenceMention,frequenceAmi,refermoyenTweet,retweet,reply,Nombreurl,frenquenTweet,frequenceFavourite,,label
52,0.722857143,1.421544402,53,1.432432432,111.9459459,-2.13E-05,-1.70E-06,-1.49E-08,0.432432432,0,0,20,-9.27E-07,-3.14E-04,,-1
53,0,0.082857143,1,1,54,-9.20E-06,-4.86E-07,0,0,0,0,1,0,-1.09E-04,,1
54,0,0.414285714,5,5,134,-7.89E-08,-9.87E-08,0,0,0,0,1,0,-7.50E-08,,1
55,0.002857143,0.081428571,0,0,54.5,-3.16E-06,-2.18E-07,0,0.5,0,0,2,-1.09E-08,0.00E+00,,1
56,0,0,0,0,67,-8.24E-05,-1.34E-06,0,0,0,0,1,0,-6.96E-05,,1
57,0,0.164285714,1,1,140,-2.98E-05,-5.94E-06,0,1,0,0,1,0,-5.74E-03,,1
58,0,0.081428571,0,0,140,-1.51E-05,-1.10E-06,0,1,0,0,0,0,-1.23E-04,,1
59,0.008571429,0.124285714,3,1.5,105.5,-3.75E-06,-1.44E-07,0,0,0,0,1,-3.32E-08,-1.77E-05,,1
60,0,0.162857143,0,0,140,-1.37E-05,-1.26E-06,0,2,0,0,0,0,-1.91E-05,,1
61,0.434285714,0.41,6,2,128,-6.43E-05,-1.16E-06,-2.17E-08,1,0,0,2,-8.05E-07,-1.20E-04,,-1
62,0,0.082857143,1,1,50,-3.81E-06,-1.47E-07,0,0,0,0,0,0,-2.18E-05,,1
63,0.04,0.312,9,1.8,63.2,-1.65E-06,-3.11E-07,0,0.4,0,0,0,-5.00E-08,-1.01E-05,,1
64,0,0.082857143,1,1,89,-2.68E-05,-1.32E-06,0,0,0,0,0,0,-1.25E-05,,1
65,0.031428571,0.082857143,2,1,127.5,-4.91E-05,-2.23E-06,-2.99E-08,0,0,0,2,-3.59E-08,-4.87E-05,,1
66,0,0.247142857,2,2,140,-1.73E-03,-6.80E-05,0,1,0,0,0,0,-2.37E-02,,1
67,0.182857143,0.136666667,6,0.666666667,104.8888889,-9.85E-05,-2.60E-06,0,0.111111111,0,0,5,-2.39E-07,-2.77E-05,,1
68,0,0.164285714,1,1,140,-1.52E-05,-8.51E-07,0,1,0,0,0,0,-1.24E-04,,1
69,0.022857143,0.082857143,4,1,46.5,-2.67E-05,-1.13E-06,-5.24E-09,0,0,0,0,-3.67E-08,-5.07E-06,,1
70,0.125714286,0.328571429,4,2,136.5,-2.49E-05,-1.01E-06,0,1,0,0,1,-4.10E-07,-4.34E-05,,1
71,0,0.164285714,1,1,139,-6.32E-06,-5.95E-07,0,1,0,0,0,0,-1.79E-05,,1
72,0,0.247142857,2,2,92,-3.28E-06,-5.52E-07,0,1,0,0,1,0,-7.50E-06,,1
73,0,0.33,3,3,132,-1.62E-04,-5.77E-06,0,1,0,0,1,0,-5.95E-04,,1
74,0,0.082857143,1,1,88,-3.78E-07,-5.23E-08,0,0,0,0,0,0,-1.93E-06,,1
75,0.002857143,0,0,0,31,-9.95E-06,-1.23E-06,0,0,0,0,2,-1.10E-08,-1.56E-04,,1
76,0,0.082857143,1,1,64,-1.37E-06,-2.89E-08,0,0,0,0,1,0,-5.76E-05,,1
77,0,0.247142857,2,2,141,-8.20E-05,-7.33E-06,0,1,0,0,1,0,-1.55E-04,,1
78,0.188571429,0.212571429,3,0.6,110,-8.81E-06,-3.90E-07,-1.84E-08,0.4,0,0,2,-2.25E-07,-2.23E-05,,1
79,0,0.247142857,2,2,90,-2.35E-06,-9.23E-08,0,1,0,0,1,0,-4.58E-07,,1
80,0,0.081428571,0,0,97,-6.26E-05,-3.98E-06,0,1,0,0,1,0,-1.75E-05,,1
81,0,0.081428571,0,0,139,-2.12E-06,-7.23E-08,0,1,0,0,0,0,-1.17E-04,,1
82,0.62,0.538285714,3,0.6,137.6,-2.50E-05,-3.30E-06,-1.21E-08,1.2,0,0,1,-1.30E-06,-1.31E-04,,1
83,0.171428571,0.327142857,2,1,140,-1.34E-05,-6.14E-07,-3.74E-09,1.5,0,0,2,-2.21E-07,-3.68E-04,,1
