 ,_id,userCreateDate,Maxfollowers,Minfollowers,retweet,reply,MaxAmi,MinAmi,MaxStatuses,MinStatuses,Maxfavourites,Minfavourites,Maxmention,Minmention,nombre_tweet,longTotalTweet,hstag,reference,Nombreurl,dateMax,dateMin,DateUser,statuses,friends,favourites,mention,followers,agressivite,frenquenTweet,frequenceAmi,longMoyen,frequenceFavourite,frequenceMention,frequenceFollowers,hstagmoyenTweet,refermoyenTweet,visibilite,label
255925,732735087092113408,Wed May 18 00:50:33 +0000 2016,57,57,0,0,199,199,329,329,2144,2144,0,0,1,61.0,4.0,0.0,1.0,1529241876000.0,1529241876000.0,1463532633000.0,0,0,0,0,0,0.0,5.006905953854924e-09,3.0284932669213674e-09,61.0,3.262859077527343e-08,0.0,8.674578704247132e-10,4.0,0.0,0.3314285714285714,1
255926,732738009360158721,Wed May 18 01:02:09 +0000 2016,79,79,0,0,182,182,1048,1048,160,160,1,1,1,50.0,2.0,0.0,0.0,1529249873000.0,1529249873000.0,1463533329000.0,0,0,0,0,0,0.0,1.5947278055279352e-08,2.769470043951185e-09,50.0,2.4346989397373053e-09,1.5216868373358162e-11,1.2021326014952947e-09,2.0,0.0,0.1657142857142857,1
255927,732740887394947072,Wed May 18 01:13:36 +0000 2016,59,59,0,0,149,149,1854,1854,2636,2636,0,0,1,140.0,5.0,1.0,1.0,1529251221000.0,1529251221000.0,1463534016000.0,0,0,0,0,0,0.0,2.8211790200146216e-08,2.267290582428148e-09,140.0,4.0111261579064414e-08,0.0,8.977862037802733e-10,5.0,1.0,0.4957142857142858,1
255928,732743661121896449,Wed May 18 01:24:37 +0000 2016,438,437,0,0,395,394,7452,7446,19430,19421,15,15,2,158.0,3.0,0.0,0.0,1529246273000.0,1529241432000.0,1463534677000.0,6,1,9,0,1,0.02,1.134046417012912e-07,6.011115602792542e-09,79.0,2.956860156006559e-07,2.2827021276427376e-10,6.665490212716794e-09,1.5,0.0,0.1242857142857142,1
255929,732749901025677312,Wed May 18 01:49:25 +0000 2016,218,218,0,0,817,817,12557,12557,888,888,3,3,1,142.0,1.0,1.0,1.0,1529236613000.0,1529236613000.0,1463536165000.0,0,0,0,0,0,0.0,1.9112502855383883e-07,1.2435227230109602e-08,142.0,1.3515889572016312e-08,4.566178909464971e-11,3.318090007544545e-09,1.0,1.0,0.1642857142857142,1
255930,732750254626373633,Wed May 18 01:50:49 +0000 2016,294,294,0,0,215,215,4033,4033,4024,4024,7,7,1,140.0,3.0,1.0,1.0,1529244103000.0,1529244103000.0,1463536249000.0,0,0,0,0,0,0.0,6.137774641064978e-08,3.2720593796899836e-09,140.0,6.124077648312788e-08,1.0653216585037156e-10,4.4743509657156055e-09,3.0,1.0,0.3299999999999999,1
255931,732751075850260480,Wed May 18 01:54:05 +0000 2016,31,31,0,0,154,154,2516,2516,2192,2192,1,1,1,140.0,2.0,1.0,0.0,1529241952000.0,1529241952000.0,1463536445000.0,0,0,0,0,0,0.0,3.829207192633032e-08,2.343791365920059e-09,140.0,3.3360978403225776e-08,1.521942445402636e-11,4.71802158074817e-10,2.0,1.0,0.2471428571428571,1
255932,732771958308274176,Wed May 18 03:17:03 +0000 2016,173,173,0,0,59,59,8178,8178,1776,1776,0,0,1,121.0,5.0,1.0,1.0,1529244340000.0,1529244340000.0,1463541423000.0,0,0,0,0,0,0.0,1.244693595567454e-07,8.97981439697723e-10,121.0,2.7030763337341627e-08,0.0,2.633064221486544e-09,5.0,1.0,0.4957142857142858,1
255933,732781125609922560,Wed May 18 03:53:29 +0000 2016,170,170,0,0,641,641,6004,6004,1951,1951,2,2,1,140.0,5.0,1.0,0.0,1529244663000.0,1529244663000.0,1463543609000.0,0,0,0,0,0,0.0,9.138361768138453e-08,9.756312280774064e-09,140.0,2.96951096096571e-08,3.044091195249318e-11,2.58747751596192e-09,5.0,1.0,0.4957142857142858,1
255934,732800238524715008,Wed May 18 05:09:26 +0000 2016,233,233,0,0,168,168,5274,5274,2173,2173,0,0,1,134.0,2.0,1.0,1.0,1529228168000.0,1529228168000.0,1463548166000.0,0,0,0,0,0,0.0,8.029841412002395e-08,2.5578561949495682e-09,134.0,3.3084651854913165e-08,0.0,3.54750293704315e-09,2.0,1.0,0.2471428571428571,1
255935,732813941269790720,Wed May 18 06:03:53 +0000 2016,45,45,0,0,32,32,2096,2096,2161,2161,0,0,1,142.0,1.0,1.0,0.0,1529247683000.0,1529247683000.0,1463551433000.0,0,0,0,0,0,0.0,3.190440854691097e-08,4.870902068230682e-10,142.0,3.289381052952033e-08,0.0,6.849706033449398e-10,1.0,1.0,0.1642857142857142,1
255936,732814181179723777,Wed May 18 06:04:50 +0000 2016,493,493,0,0,4697,4697,51206,51206,26,26,4,4,1,140.0,0.0,1.0,0.0,1529233934000.0,1529233934000.0,1463551490000.0,0,0,0,0,0,0.0,7.79599492369681e-07,7.15107373288363e-08,140.0,3.9584397925266e-10,6.089907373117845e-11,7.505810837367744e-09,0.0,1.0,0.0814285714285714,1
255937,732814374763671552,Wed May 18 06:05:36 +0000 2016,1014,1014,0,0,1078,1078,22286,22286,38355,38355,10,10,1,94.0,3.0,1.0,1.0,1529227871000.0,1529227871000.0,1463551536000.0,0,0,0,0,0,0.0,3.393307498050858e-07,1.6413826989584603e-08,94.0,5.840003100051183e-07,1.5226184591451395e-10,1.5439351175731715e-08,3.0,1.0,0.3299999999999999,1
255938,732821768474361856,Wed May 18 06:34:59 +0000 2016,124,124,0,0,148,148,186,186,165,165,0,0,1,86.0,2.0,1.0,1.0,1529250210000.0,1529250210000.0,1463553299000.0,0,0,0,0,0,0.0,2.8311833413293973e-09,2.252769540412638e-09,86.0,2.5115336092438197e-09,0.0,1.8874555608862646e-09,2.0,1.0,0.2471428571428571,1
255939,732836031205150720,Wed May 18 07:31:40 +0000 2016,148,148,0,0,521,521,4555,4555,5876,5876,3,3,1,26.0,0.0,0.0,1.0,1529244717000.0,1529244717000.0,1463556700000.0,0,0,0,0,0,0.0,6.934293662723903e-08,7.931431390294521e-09,26.0,8.945314942297618e-08,4.5670430270409897e-11,2.2530745600068883e-09,0.0,0.0,0.0,1
255940,732850130043473920,Wed May 18 08:27:41 +0000 2016,539,539,0,0,478,478,687,687,9278,9278,10,10,1,140.0,0.0,0.0,1.0,1529228506000.0,1529228506000.0,1463560061000.0,0,0,0,0,0,0.0,1.0461645619901614e-08,7.278990693323102e-09,140.0,1.412855139176815e-07,1.5228014002767996e-10,8.20789954749195e-09,0.0,0.0,0.0,1
